numb_bees,max_itrs,p_f,limit,modification_rate,count,mean,median,std,min,max
50,100,0.25,10,0.1,30,3.695623,3.750921,0.592805,2.392806,5.076859
50,100,0.25,10,0.5,30,3.791174,3.705677,0.606736,2.793035,4.850459
50,100,0.25,10,0.9,30,3.934274,3.881877,0.778016,2.5106,5.404911
50,100,0.25,50,0.1,30,3.733687,3.849701,0.615725,2.392806,5.118792
50,100,0.25,50,0.5,28,4.578722,4.653746,0.919107,2.927902,6.52086
50,100,0.25,50,0.9,29,5.138978,4.56844,2.021973,2.927902,12.817831
50,100,0.25,150,0.1,30,3.733687,3.849701,0.615725,2.392806,5.118792
50,100,0.25,150,0.5,28,4.579458,4.653746,0.919537,2.927902,6.52086
50,100,0.25,150,0.9,27,5.149628,4.470985,2.096028,2.927902,12.817831
50,100,0.45,10,0.1,30,3.76388,3.828139,0.565261,2.333132,4.633921
50,100,0.45,10,0.5,30,3.583929,3.600759,0.730141,2.157678,5.222281
50,100,0.45,10,0.9,30,3.447299,3.357217,0.729265,2.407113,5.658464
50,100,0.45,50,0.1,30,3.733133,3.877771,0.615401,2.333132,4.573237
50,100,0.45,50,0.5,30,4.236254,4.066954,1.239174,2.310472,7.725309
50,100,0.45,50,0.9,30,3.84684,3.866055,0.853399,2.373854,5.332687
50,100,0.45,150,0.1,30,3.733133,3.877771,0.615401,2.333132,4.573237
50,100,0.45,150,0.5,29,4.238277,4.071009,1.212305,2.310472,7.725309
50,100,0.45,150,0.9,27,4.325379,4.56844,1.306808,2.407113,8.080795
50,100,0.75,10,0.1,30,3.732884,3.688848,0.811267,2.497796,5.83314
50,100,0.75,10,0.5,30,3.720872,3.672549,0.607915,2.634679,4.949705
50,100,0.75,10,0.9,30,3.521172,3.488282,0.497841,2.650906,4.446271
50,100,0.75,50,0.1,30,3.850399,3.836166,0.803905,2.626131,5.407874
50,100,0.75,50,0.5,30,3.942596,3.982906,0.61164,2.807962,4.957884
50,100,0.75,50,0.9,30,3.777426,3.856286,0.749448,2.161745,5.10666
50,100,0.75,150,0.1,30,3.925116,3.712008,0.962766,2.626131,6.915238
50,100,0.75,150,0.5,30,3.972996,3.886543,0.660459,2.807962,5.708758
50,100,0.75,150,0.9,29,4.163328,4.069449,0.969094,2.82785,7.85551
50,500,0.25,10,0.1,30,3.281132,3.352224,0.520636,2.308415,4.063308
50,500,0.25,10,0.5,30,3.142277,3.149546,0.32082,2.522941,3.741794
50,500,0.25,10,0.9,30,3.120789,2.989775,0.572642,2.266172,4.901696
50,500,0.25,50,0.1,30,3.665988,3.750921,0.590144,2.392806,5.118792
50,500,0.25,50,0.5,30,3.367496,3.324361,0.532973,2.423051,4.565163
50,500,0.25,50,0.9,30,3.468109,3.435118,0.691391,2.287282,4.696188
50,500,0.25,150,0.1,30,3.733687,3.849701,0.615725,2.392806,5.118792
50,500,0.25,150,0.5,30,3.847962,3.822594,0.675174,2.903786,5.276433
50,500,0.25,150,0.9,29,3.919958,3.854076,0.875293,2.472859,6.547518
50,500,0.45,10,0.1,30,3.143592,3.098464,0.478572,2.244469,3.989676
50,500,0.45,10,0.5,30,2.997168,2.888614,0.442446,2.157678,4.102509
50,500,0.45,10,0.9,30,2.893468,2.836991,0.402407,2.10163,3.733806
50,500,0.45,50,0.1,30,3.346381,3.320706,0.514299,2.333132,4.406418
50,500,0.45,50,0.5,30,3.07311,3.215384,0.442828,2.310472,3.852124
