id_combinacion,semilla,numb_bees,max_itrs,p_f,limit,modification_rate,fitness_final,factible,violacion_total,tiempo_ejecucion,x1,x2,x3,x4,convergencia_final
0,2,50,100,0.25,10,0.1,3.1064026585244173,True,0,0.694596,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
0,3,50,100,0.25,10,0.1,2.9859959466608728,True,0,0.691959,0.4473779745983059,1.8529334795567989,6.97149606951853,0.4845361063928855,2.9859959466608728
0,5,50,100,0.25,10,0.1,3.9791077897862865,True,0,0.690325,0.29145529241367724,5.323897093328593,4.4930049108562695,0.8330113773333355,3.9791077897862865
0,7,50,100,0.25,10,0.1,4.00037516876753,True,0,0.680654,0.5755576693032766,1.9076371830646366,4.683640355623487,0.9212718795743049,4.00037516876753
0,11,50,100,0.25,10,0.1,3.3564383165534153,True,0,0.699571,0.5000645848826292,2.211083850707744,5.093488625382188,0.6911607930011271,3.3564383165534153
1,2,50,100,0.25,10,0.5,3.1064026585244173,True,0,0.685508,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
1,3,50,100,0.25,10,0.5,4.400901143457667,True,0,0.701728,0.8878389682151946,1.3542270156738319,4.241761567394057,1.0281775324852946,4.400901143457667
1,5,50,100,0.25,10,0.5,3.8512366337230537,True,0,0.711134,0.49020214373403936,4.305087497371211,5.818651346099598,0.5285484086101664,3.8512366337230537
1,7,50,100,0.25,10,0.5,4.384316362477525,True,0,0.692844,0.2634790500472527,3.4594992543100105,7.745441169347951,0.6331099763040658,4.384316362477525
1,11,50,100,0.25,10,0.5,3.705318189904536,True,0,0.693054,0.40373429002656624,2.265579596513914,8.534972044261153,0.49369526605962333,3.705318189904536
2,2,50,100,0.25,50,0.1,3.1064026585244173,True,0,0.689625,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
2,3,50,100,0.25,50,0.1,2.9859959466608728,True,0,0.716744,0.4473779745983059,1.8529334795567989,6.97149606951853,0.4845361063928855,2.9859959466608728
2,5,50,100,0.25,50,0.1,3.9791077897862865,True,0,0.67929,0.29145529241367724,5.323897093328593,4.4930049108562695,0.8330113773333355,3.9791077897862865
2,7,50,100,0.25,50,0.1,3.9161151709139124,True,0,0.690003,0.34066283241475004,4.612886684812331,5.742679832602464,0.6465359250525622,3.9161151709139124
2,11,50,100,0.25,50,0.1,3.3564383165534153,True,0,0.687263,0.5000645848826292,2.211083850707744,5.093488625382188,0.6911607930011271,3.3564383165534153
3,2,50,100,0.25,50,0.5,3.1064026585244173,True,0,0.589132,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
3,3,50,100,0.25,50,0.5,4.837992294544924,True,0,0.682816,0.3743720430637726,3.141251419864485,6.662581682129815,0.7920120115193169,4.837992294544924
3,5,50,100,0.25,50,0.5,5.198839927686264,True,0,0.670268,0.3503137344877484,3.500277504099188,5.770944386359572,0.9723241149589846,5.198839927686264
3,7,50,100,0.25,50,0.5,5.004059116212387,True,0,0.707867,0.31143445110059814,4.280494996494028,6.425243342369222,0.8043789125250198,5.004059116212387
3,11,50,100,0.25,50,0.5,5.076817046778149,True,0,0.717322,0.238772853284026,6.331603631116839,7.807257500898843,0.6125736150152711,5.076817046778149
