id_combinacion,numb_bees,max_itrs,p_f,limit,modification_rate,total_experimentos,experimentos_factibles,experimentos_no_factibles,tasa_factibilidad,fitness_count,fitness_mean,fitness_std,fitness_median,fitness_min,fitness_max,fitness_q25,fitness_q75,fitness_iqr,fitness_cv,tiempo_mean,tiempo_std,tiempo_median,tiempo_min,tiempo_max,tiempo_factibles_mean,tiempo_factibles_std,x1_mean,x1_std,x1_median,x1_min,x1_max,x2_mean,x2_std,x2_median,x2_min,x2_max,x3_mean,x3_std,x3_median,x3_min,x3_max,x4_mean,x4_std,x4_median,x4_min,x4_max,convergencia_mean,convergencia_std,convergencia_median,convergencia_min,convergencia_max,ranking_fitness,es_top_10_pct,es_top_20_pct
155,150,1000,0.75,10,0.9,30,30,0,100.0,30,2.416935,0.308396,2.401048,1.895526,3.006214,2.215357,2.642578,0.427221,12.759783,43.493618,0.31702,43.526102,42.618684,44.028661,43.493618,0.31702,0.224348,0.058628,0.226278,0.128992,0.332453,4.830798,1.889484,4.216825,2.314274,9.572325,8.516017,1.009738,8.757101,6.148609,9.91455,0.289767,0.071232,0.263168,0.209801,0.508846,2.416935,0.308396,2.401048,1.895526,3.006214,1,True,True
242,450,1000,0.75,150,0.9,30,30,0,100.0,30,2.420871,0.218656,2.403841,1.955667,2.805461,2.255281,2.600571,0.345291,9.032129,559.313247,89.522599,611.533453,411.077963,615.764845,559.313247,89.522599,0.2108,0.039035,0.211305,0.147109,0.30368,5.367901,1.558292,5.237604,2.477024,9.384123,8.721618,0.901209,8.815936,7.028309,9.971734,0.271412,0.04706,0.261394,0.20225,0.379442,2.420871,0.218656,2.403841,1.955667,2.805461,2,True,True
239,450,1000,0.75,50,0.9,30,30,0,100.0,30,2.420871,0.218656,2.403841,1.955667,2.805461,2.255281,2.600571,0.345291,9.032129,617.236529,5.669574,616.554259,605.129414,643.359057,617.236529,5.669574,0.2108,0.039035,0.211305,0.147109,0.30368,5.367901,1.558292,5.237604,2.477024,9.384123,8.721618,0.901209,8.815936,7.028309,9.971734,0.271412,0.04706,0.261394,0.20225,0.379442,2.420871,0.218656,2.403841,1.955667,2.805461,2,True,True
236,450,1000,0.75,10,0.9,30,30,0,100.0,30,2.420871,0.218656,2.403841,1.955667,2.805461,2.255281,2.600571,0.345291,9.032129,612.4961,2.272656,612.95452,606.205194,617.856811,612.4961,2.272656,0.2108,0.039035,0.211305,0.147109,0.30368,5.367901,1.558292,5.237604,2.477024,9.384123,8.721618,0.901209,8.815936,7.028309,9.971734,0.271412,0.04706,0.261394,0.20225,0.379442,2.420871,0.218656,2.403841,1.955667,2.805461,2,True,True
161,150,1000,0.75,150,0.9,30,30,0,100.0,30,2.432243,0.242175,2.364055,2.013674,2.863714,2.255145,2.624732,0.369587,9.956863,43.432075,0.375443,43.515464,42.341885,44.009382,43.432075,0.375443,0.231382,0.06423,0.233004,0.138791,0.409899,4.821582,1.669534,4.762536,2.160689,8.802231,8.519697,0.831719,8.482998,6.205083,9.993702,0.286383,0.052098,0.287517,0.210233,0.464585,2.432243,0.242175,2.364055,2.013674,2.863714,5,True,True
233,450,1000,0.45,150,0.9,30,30,0,100.0,30,2.451248,0.300386,2.431005,1.807626,2.957882,2.289094,2.689879,0.400785,12.25443,622.000032,3.487842,622.147486,608.070854,629.980589,622.000032,3.487842,0.227667,0.063979,0.205736,0.130135,0.374912,5.140632,1.981196,4.858502,2.362009,9.982023,8.665049,0.970609,8.899145,6.213255,9.956039,0.280962,0.066476,0.258702,0.204489,0.480685,2.451248,0.300386,2.431005,1.807626,2.957882,6,True,True
74,50,1000,0.75,10,0.9,30,30,0,100.0,30,2.476299,0.270254,2.409517,1.986207,2.942955,2.320154,2.654862,0.334709,10.913639,6.695461,0.163289,6.719236,6.04955,6.945603,6.695461,0.163289,0.244715,0.0657,0.241151,0.127878,0.367743,4.675268,1.883517,4.051737,2.465385,9.79708,8.32872,0.95365,8.367756,5.874408,9.604687,0.302884,0.071022,0.307504,0.20556,0.495635,2.476299,0.270254,2.409517,1.986207,2.942955,7,True,True
158,150,1000,0.75,50,0.9,30,30,0,100.0,30,2.497831,0.332411,2.499331,1.97023,3.214989,2.269555,2.706232,0.436678,13.307985,43.53837,0.387955,43.580268,42.641282,44.571833,43.53837,0.387955,0.233259,0.070914,0.213682,0.133968,0.398082,4.989028,1.796303,4.295984,2.386568,9.125342,8.464299,0.977754,8.611441,6.60472,9.91455,0.2958,0.069837,0.276297,0.208564,0.409861,2.497831,0.332411,2.499331,1.97023,3.214989,8,True,True
227,450,1000,0.45,10,0.9,30,30,0,100.0,30,2.497896,0.335259,2.469702,1.888903,3.098332,2.283067,2.772612,0.489545,13.421662,650.306426,17.360176,638.431204,634.790496,686.160184,650.306426,17.360176,0.227639,0.052751,0.221858,0.135536,0.35157,4.945652,1.839447,4.402397,2.362009,9.548924,8.417275,1.021264,8.410229,6.373687,9.922482,0.2996,0.069948,0.287324,0.204489,0.42839,2.497896,0.335259,2.469702,1.888903,3.098332,9,True,True
230,450,1000,0.45,50,0.9,30,30,0,100.0,30,2.497896,0.335259,2.469702,1.888903,3.098332,2.283067,2.772612,0.489545,13.421662,620.004783,5.22218,619.312072,615.211552,645.146074,620.004783,5.22218,0.227639,0.052751,0.221858,0.135536,0.35157,4.945652,1.839447,4.402397,2.362009,9.548924,8.417275,1.021264,8.410229,6.373687,9.922482,0.2996,0.069948,0.287324,0.204489,0.42839,2.497896,0.335259,2.469702,1.888903,3.098332,9,True,True
